t,ax,ay,az,gx,gy,gz,m1,m2,m3,q0,q1,q2,q3,y,p,r
3500360,995.48,-47.73,-153.32,0.02,-1.59,-0.32,14,66,266,0.59,-0.51,-0.43,-0.46,-19.71,-77.10,-60.98
3520492,995.24,-50.54,-150.51,-0.21,-1.70,-0.20,14,66,266,0.58,-0.51,-0.43,-0.47,-19.84,-77.27,-62.18
3540680,995.85,-67.50,-151.73,-0.66,-1.59,-0.26,14,66,266,0.57,-0.52,-0.42,-0.47,-19.86,-77.40,-63.52
3560804,996.70,-71.53,-152.71,-0.85,-1.66,-0.36,14,66,266,0.56,-0.53,-0.42,-0.48,-19.87,-77.52,-64.90
3580924,992.07,-53.47,-154.17,-0.46,-1.57,-0.33,14,66,266,0.56,-0.53,-0.42,-0.48,-19.88,-77.67,-66.26
3601072,993.04,-40.53,-159.55,-0.60,-1.64,-0.23,14,66,266,0.55,-0.54,-0.41,-0.49,-19.89,-77.86,-67.62
3621180,994.14,-37.23,-154.05,-1.14,-1.83,-0.05,14,66,266,0.54,-0.55,-0.41,-0.49,-19.93,-78.06,-68.96
3641296,989.87,-47.24,-151.00,-0.66,-1.67,-0.14,14,66,266,0.54,-0.55,-0.40,-0.50,-19.93,-78.24,-70.35
3661472,996.58,-57.37,-156.25,0.50,-1.56,-0.10,14,66,266,0.53,-0.56,-0.40,-0.50,-19.89,-78.38,-71.79
3702960,996.46,-65.55,-155.27,0.14,-1.41,0.02,14,66,266,0.51,-0.57,-0.38,-0.51,-19.64,-78.62,-74.94
3723864,994.38,-60.67,-154.66,-1.46,-1.65,0.06,14,66,266,0.50,-0.58,-0.38,-0.52,-19.50,-78.74,-76.60
3743916,994.51,-51.39,-153.20,-1.18,-1.63,0.00,14,66,266,0.50,-0.58,-0.37,-0.52,-19.36,-78.87,-78.18
3764004,992.19,-41.63,-152.22,-0.40,-1.53,0.11,14,66,266,0.49,-0.59,-0.37,-0.53,-19.24,-79.03,-79.73
3784196,993.90,-40.89,-156.01,-0.08,-1.48,0.11,14,66,266,0.48,-0.60,-0.36,-0.53,-19.08,-79.20,-81.34
3804368,991.33,-51.76,-154.91,0.17,-1.53,0.16,14,66,266,0.47,-0.60,-0.36,-0.54,-18.86,-79.33,-83.01
3824532,992.07,-54.20,-154.79,-0.11,-1.45,0.29,14,66,266,0.46,-0.61,-0.35,-0.54,-18.61,-79.44,-84.73
3841896,1000.12,-61.77,-152.71,-0.52,-1.50,0.33,14,66,266,0.46,-0.61,-0.35,-0.55,-18.41,-79.53,-86.19
3862160,997.56,-68.36,-155.03,-0.62,-1.59,0.01,14,66,266,0.45,-0.62,-0.34,-0.55,-18.16,-79.60,-87.93
3883088,992.92,-70.07,-156.98,-0.80,-1.56,-0.06,14,66,266,0.44,-0.62,-0.33,-0.55,-17.85,-79.65,-89.79
3903268,992.43,-55.18,-160.03,-1.30,-1.54,-0.04,14,66,266,0.43,-0.63,-0.33,-0.56,-17.48,-79.74,-91.68
3923468,992.43,-34.30,-153.81,-1.67,-1.54,0.26,14,66,266,0.42,-0.63,-0.32,-0.56,-17.15,-79.89,-93.52
3943648,998.90,-50.29,-147.34,-1.08,-1.58,0.20,14,66,266,0.41,-0.64,-0.32,-0.57,-16.88,-80.02,-95.29
3963876,991.94,-62.99,-152.95,0.34,-1.46,0.00,14,66,266,0.41,-0.64,-0.31,-0.57,-16.59,-80.08,-97.05
3984000,989.62,-60.06,-156.25,0.53,-1.38,0.27,14,66,266,0.40,-0.65,-0.30,-0.57,-16.23,-80.13,-98.89
4004204,996.70,-36.99,-155.52,-0.09,-1.40,0.32,14,66,266,0.39,-0.65,-0.30,-0.58,-15.80,-80.25,-100.82
4024416,995.97,-43.95,-152.47,-0.20,-1.35,0.37,14,66,266,0.38,-0.66,-0.29,-0.58,-15.43,-80.36,-102.68
4044692,992.31,-64.09,-156.13,-0.03,-1.27,0.11,14,66,266,0.37,-0.66,-0.28,-0.58,-15.05,-80.39,-104.55
4065680,995.12,-52.98,-152.22,-0.70,-1.27,0.53,14,66,266,0.36,-0.67,-0.28,-0.59,-14.69,-80.43,-106.45
4085932,996.46,-43.09,-150.76,-1.00,-1.37,0.58,14,66,266,0.35,-0.67,-0.27,-0.59,-14.33,-80.51,-108.31
4106192,997.19,-61.40,-151.00,-0.66,-1.45,0.33,14,66,266,0.35,-0.68,-0.27,-0.59,-14.04,-80.56,-110.07
4126452,988.04,-59.94,-156.01,-0.11,-1.25,0.23,14,66,266,0.34,-0.68,-0.26,-0.60,-13.70,-80.57,-111.88
4146752,991.94,-31.01,-154.05,0.20,-1.21,0.53,14,66,266,0.33,-0.68,-0.25,-0.60,-13.21,-80.64,-113.86
4167004,998.05,-27.59,-143.80,0.77,-1.28,0.67,14,66,266,0.32,-0.69,-0.25,-0.60,-12.75,-80.78,-115.78
4187224,997.92,-72.02,-146.24,2.78,-1.30,-0.34,14,66,266,0.31,-0.69,-0.24,-0.60,-12.64,-80.81,-117.23
4207432,997.31,-97.41,-154.66,2.50,-1.09,-0.17,14,66,266,0.30,-0.70,-0.23,-0.61,-12.59,-80.71,-118.57
4224848,995.97,-87.28,-157.59,-0.23,-1.69,0.24,14,66,266,0.30,-0.70,-0.23,-0.61,-12.58,-80.59,-119.69
4245064,995.97,-54.20,-151.49,-1.50,-1.72,0.18,14,66,266,0.29,-0.70,-0.22,-0.61,-12.24,-80.58,-121.46
4266016,993.04,-43.33,-151.12,-1.33,-1.74,0.15,14,66,266,0.28,-0.71,-0.21,-0.61,-11.82,-80.64,-123.40
4286304,992.92,-47.24,-151.61,-1.01,-1.72,0.05,14,66,266,0.27,-0.71,-0.21,-0.62,-11.38,-80.69,-125.28
4306592,992.31,-48.10,-150.76,-0.38,-1.66,-0.01,14,66,266,0.26,-0.71,-0.20,-0.62,-11.00,-80.73,-127.08
4326896,995.24,-61.89,-150.15,-0.24,-1.54,-0.17,14,66,266,0.26,-0.72,-0.19,-0.62,-10.77,-80.73,-128.65
4347204,995.61,-80.44,-158.45,-0.92,-1.60,-0.10,14,66,266,0.25,-0.72,-0.19,-0.62,-10.71,-80.65,-129.99
4367460,993.04,-78.12,-161.87,-1.67,-1.61,0.01,14,66,266,0.24,-0.72,-0.18,-0.62,-10.62,-80.54,-131.35
4387716,992.43,-43.82,-154.91,-2.02,-1.50,0.23,14,66,266,0.23,-0.73,-0.17,-0.62,-10.27,-80.55,-133.07
4408700,990.72,-20.02,-156.25,-1.13,-1.26,0.30,14,66,266,0.22,-0.73,-0.17,-0.63,-9.52,-80.64,-135.32
4428912,989.38,-29.17,-159.91,-0.40,-1.15,0.21,14,66,266,0.21,-0.73,-0.16,-0.63,-8.83,-80.72,-137.42
4449844,993.77,-52.73,-158.33,-0.11,-0.98,0.40,14,66,266,0.21,-0.73,-0.16,-0.63,-8.43,-80.72,-139.14
4470048,995.48,-70.43,-153.81,-0.20,-0.93,0.51,14,66,266,0.20,-0.73,-0.15,-0.63,-8.61,-80.66,-140.06
4490292,996.58,-80.93,-154.42,-0.08,-0.91,0.26,14,66,266,0.19,-0.74,-0.14,-0.63,-8.98,-80.57,-140.70
4510532,995.48,-80.57,-157.35,-0.30,-1.01,0.14,14,66,266,0.19,-0.74,-0.14,-0.63,-9.38,-80.47,-141.27
4528004,995.48,-55.66,-148.44,-0.80,-1.22,0.57,14,66,266,0.18,-0.74,-0.13,-0.63,-9.44,-80.47,-142.14
4548260,996.95,-51.27,-142.09,-0.34,-1.19,0.18,14,66,266,0.17,-0.74,-0.12,-0.64,-9.45,-80.52,-143.23
4565700,994.02,-50.54,-143.68,0.72,-0.98,-0.20,14,66,266,0.17,-0.74,-0.12,-0.64,-9.38,-80.57,-144.22
4585880,991.82,-56.40,-149.29,1.13,-0.94,-0.32,14,66,266,0.16,-0.74,-0.11,-0.64,-9.44,-80.61,-145.14
4606076,997.68,-53.34,-145.26,0.31,-1.32,-0.15,14,66,266,0.15,-0.75,-0.11,-0.64,-9.41,-80.63,-146.16
4626324,1002.20,-64.45,-136.35,-0.27,-1.75,-0.21,14,66,266,0.15,-0.75,-0.10,-0.64,-9.73,-80.68,-146.74
4646632,991.94,-62.87,-148.56,-0.08,-1.82,-0.10,14,66,266,0.14,-0.75,-0.10,-0.64,-9.96,-80.67,-147.37
4678268,991.70,-50.78,-148.07,-0.60,-1.90,0.48,14,66,266,0.13,-0.75,-0.09,-0.64,-9.76,-80.67,-149.04
4696444,997.56,-50.17,-145.39,-0.93,-2.10,0.05,14,66,266,0.13,-0.75,-0.09,-0.64,-9.53,-80.71,-150.13
4716760,997.80,-74.46,-145.39,-0.19,-2.17,-0.11,14,66,266,0.12,-0.75,-0.08,-0.64,-9.95,-80.68,-150.40
4737020,995.24,-70.68,-157.10,-0.96,-2.82,1.08,14,66,266,0.12,-0.75,-0.08,-0.64,-10.38,-80.55,-150.59
4757320,994.02,-54.20,-151.00,-2.08,-2.37,1.44,14,66,266,0.11,-0.75,-0.07,-0.64,-10.45,-80.50,-151.26
4777624,991.70,-52.00,-153.56,-2.55,-2.23,0.60,14,66,266,0.11,-0.75,-0.07,-0.64,-10.28,-80.50,-152.24
4797964,991.09,-62.62,-158.57,-2.18,-2.01,0.40,14,66,266,0.10,-0.76,-0.06,-0.64,-10.32,-80.43,-152.88
4818304,991.58,-67.63,-160.28,-2.05,-2.14,0.31,14,66,266,0.10,-0.76,-0.06,-0.64,-10.55,-80.32,-153.20
4839336,995.97,-62.74,-150.27,-2.46,-2.14,-0.02,14,66,266,0.10,-0.76,-0.05,-0.64,-10.67,-80.29,-153.71
